year,estate,room3
2007,mature,1228.5714285714287
2007,non-mature,1170.0
2008,mature,1513.225806451613
2008,non-mature,1429.090909090909
2009,mature,1515.357142857143
2009,non-mature,1432.7272727272727
2010,mature,1622.8125
2010,non-mature,1516.8085106382978
2011,mature,1855.9375
2011,non-mature,1745.4
2012,mature,2050.625
2012,non-mature,1912.5531914893618
2013,mature,2162.8125
2013,non-mature,1998.9583333333333
2014,mature,2139.0625
2014,non-mature,1972.340425531915
2015,mature,2065.625
2015,non-mature,1892.9166666666667
2016,mature,1952.5
2016,non-mature,1797.5
2017,mature,1862.5
2017,non-mature,1706.3265306122448
2018,mature,1824.6875
2018,non-mature,1666.1224489795918
2019,mature,1835.3125
2019,non-mature,1668.1132075471698
2020,mature,1867.1875
2020,non-mature,1711.0
2021,mature,1937.5
2021,non-mature,1803.5849056603774
2022,mature,2197.0833333333335
2022,non-mature,2049.756097560976
